time,x
1354.0,-3.787293204653968
1355.0,-3.8731056407948277
1356.0,-3.9116800316274762
1357.0,-3.858321635819508
1358.0,-3.8701774469201426
1359.0,-3.88839502444274
1360.0,-3.7890512938079217
1361.0,-3.8079413948393706
1362.0,-3.8740433195369635
1363.0,-3.9494145653780914
1364.0,-3.9293580407535833
1365.0,-3.9110631335992454
1366.0,-3.989589759660415
1367.0,-4.045799566763888
1368.0,-4.014236236064437
1369.0,-3.9802214374147376
1370.0,-4.016677411001061
1371.0,-3.980067038488516
1372.0,-3.9463705541686482
1373.0,-4.048642143453898
1374.0,-4.065966984349699
1375.0,-4.041304567127453
1376.0,-4.073700194536004
1377.0,-4.196495031431502
1378.0,-4.212117448478988
1379.0,-4.167975213273593
1380.0,-4.076017884553557
1381.0,-4.201805932098161
1382.0,-4.050207400381605
1383.0,-4.114590211057062
1384.0,-4.058636029252309
1385.0,-3.986685693704868
1386.0,-3.9292495875455575
1387.0,-3.9199396041771477
1388.0,-3.9863239194361615
1389.0,-3.9494680169212195
1390.0,-3.9900868106082803
1391.0,-4.135052513736425
1392.0,-3.971019033852103
1393.0,-3.929457847098224
1394.0,-3.823819323116201
1395.0,-3.875798158701099
1396.0,-3.790409225482688
1397.0,-3.697970066985188
1398.0,-3.607585892165935
1399.0,-3.6081934765620565
1400.0,-3.677000787329361
1401.0,-3.686609315803024
1402.0,-3.8131559759757505
1403.0,-3.910769798386797
1404.0,-3.9047931133195593
1405.0,-3.9613639551576743
1406.0,-3.970181051991014
1407.0,-3.9757954013816437
1408.0,-3.863645109225381
1409.0,-3.7880660638071655
1410.0,-3.790009164401615
1411.0,-3.7195653657955425
1412.0,-3.763946217020228
1413.0,-3.7827534801172895
1414.0,-3.7295549440656686
1415.0,-3.8006046349142735
1416.0,-3.8160618318803095
1417.0,-3.891668497666782
1418.0,-3.884220893592257
1419.0,-3.7893034943163033
1420.0,-3.8320779976392294
1421.0,-3.818381695188431
1422.0,-3.869535797222013
1423.0,-3.9352434888318966
1424.0,-4.005922512997659
1425.0,-3.9212474977578244
1426.0,-3.7841818339055213
1427.0,-3.7556463373762754
1428.0,-3.7963594545458994
1429.0,-3.755013479938802
1430.0,-3.773673689241702
1431.0,-3.7267597753776998
1432.0,-3.7093221116918507
1433.0,-3.692539228057586
1434.0,-3.6568468407196857
1435.0,-3.689678735826065
1436.0,-3.712394124314447
1437.0,-3.8111356026344643
1438.0,-3.8359953834330245
1439.0,-3.917457986179713
1440.0,-3.9251414186054574
1441.0,-3.9797592131683053
1442.0,-3.973234049483764
1443.0,-3.946386989786723
1444.0,-4.027703118369713
1445.0,-4.0739692204310645
1446.0,-4.127734860345846
1447.0,-4.083930352286629
1448.0,-3.9847152935859875
1449.0,-3.9348705651664333
1450.0,-3.954371558960342
1451.0,-3.869113324266425
1452.0,-3.9558688998425637
1453.0,-3.8686271150000247
1454.0,-3.905852267643769
1455.0,-4.065704814916671
1456.0,-3.911965446725863
1457.0,-3.8201894405767525
1458.0,-3.8791121641692623
1459.0,-3.868691260573439
1460.0,-3.880413989035161
1461.0,-3.8738488608638293
1462.0,-3.9588241583166015
1463.0,-3.99749341916927
1464.0,-3.9697922383170092
1465.0,-3.956256181231951
1466.0,-3.8863417400219005
1467.0,-3.8810729359948497
1468.0,-3.7447770387239263
1469.0,-3.78545960100668
1470.0,-3.769839864724952
1471.0,-3.8798340267781044
1472.0,-3.951520393511054
1473.0,-3.874142347486208
1474.0,-3.927912755523295
1475.0,-3.896602682192536
1476.0,-3.899502849295037
1477.0,-3.9591432406544524
1478.0,-3.9785725547411634
1479.0,-4.007581658652685
1480.0,-4.035034591875682
1481.0,-3.9908351597829257
1482.0,-3.9524897440936644
1483.0,-3.9851517026010805
1484.0,-4.036841993780495
1485.0,-4.019851089424432
1486.0,-4.024938235983272
1487.0,-3.9648822046885437
1488.0,-3.810900910627745
1489.0,-3.7615831225408134
1490.0,-3.7629451840194315
1491.0,-3.772234822791042
1492.0,-3.821051168194209
1493.0,-3.872744687313653
1494.0,-3.9300148126489924
1495.0,-3.9521676121634735
1496.0,-3.9761530759443375
1497.0,-3.9325339883945207
1498.0,-3.9548978893316664
1499.0,-3.9656215126903858
1500.0,-4.0352806216724995
1501.0,-3.939641119640031
1502.0,-3.9096967126437505
1503.0,-3.80574765845936
1504.0,-3.7590887936456725
1505.0,-3.672441956644359
1506.0,-3.6861605388027816
1507.0,-3.644125043067594
1508.0,-3.4872995493277776
1509.0,-3.5573441451000263
1510.0,-3.4888240509741357
1511.0,-3.390196735878961
1512.0,-3.3653033255301628
1513.0,-3.3205484224948094
1514.0,-3.2461010010283746
1515.0,-3.284245547209359
1516.0,-3.259584785271725
1517.0,-3.3102965056355242
1518.0,-3.3496397338460717
1519.0,-3.385530361399584
1520.0,-3.393396363524961
1521.0,-3.384168917673842
1522.0,-3.356857117532301
1523.0,-3.440051471324562
1524.0,-3.3224474161557422
1525.0,-3.253548324293744
1526.0,-3.210062471300266
1527.0,-3.2306753113129303
1528.0,-3.2353945781277154
1529.0,-3.202442486859276
1530.0,-3.1775631386222947
1531.0,-3.2763854789849645
1532.0,-3.2319883294274625
1533.0,-3.058909223945918
1534.0,-3.167695409787465
1535.0,-3.1082827360416876
1536.0,-3.085898512880577
1537.0,-3.091976704104005
1538.0,-3.010213998765855
1539.0,-3.0797663792577556
1540.0,-3.069592619153265
1541.0,-2.9823524400316024
1542.0,-2.9935107329418136
1543.0,-3.01778246603735
1544.0,-3.0104551186857273
1545.0,-3.036311224463034
1546.0,-2.944041428067385
1547.0,-2.9973383621154546
1548.0,-2.9450415770238023
1549.0,-3.018824807590255
1550.0,-2.978611688967848
1551.0,-2.984326261759797
1552.0,-3.137111900181745
1553.0,-3.1369302451434558
1554.0,-3.1997167848639667
1555.0,-3.225542044506205
1556.0,-3.133679660389319
1557.0,-3.1994572769918106
1558.0,-3.261838605244278
1559.0,-3.1757821398207366
1560.0,-3.1683573610648925
1561.0,-3.0763212068971644
1562.0,-3.056592173997852
1563.0,-3.1084390129642867
1564.0,-3.1118432298545513
1565.0,-3.038326730739617
1566.0,-2.981948348988161
1567.0,-2.9813859187278777
1568.0,-2.977981165772914
1569.0,-2.984152009107822
1570.0,-3.017974954571788
1571.0,-2.9028041716347155
1572.0,-2.901881054553415
1573.0,-2.9685255294472803
1574.0,-2.9963322916928106
1575.0,-2.9527023648741637
1576.0,-2.914117880370787
1577.0,-2.921760257004428
1578.0,-2.960939542903336
1579.0,-2.959014082286993
1580.0,-3.057852142288853
1581.0,-3.134604417664772
1582.0,-3.0866449885101805
1583.0,-3.114567305957203
1584.0,-3.0917789047867315
1585.0,-3.0189318612752056
1586.0,-2.979853789796468
1587.0,-2.9781209597525846
1588.0,-2.851288619316422
1589.0,-2.8111661278779128
1590.0,-2.8317276501613007
1591.0,-2.7877865636523063
1592.0,-2.7630989740949965
1593.0,-2.813432600114327
1594.0,-2.8086206023196194
1595.0,-2.8179336898010936
1596.0,-2.9341663062950003
1597.0,-2.943898289983493
1598.0,-2.9601990804527865
